K	a0	a1	a2	b0	b1	b2
K1	-25.50	0.1271	0.0	-3.08e-3	0.0877e-3	0.0
K2	-15.82	-0.0219	0.0	1.13e-3	-0.1475e-3	0.0
Kb	-29.48	0.1622	-2.608e-3	-2.84e-3	0.0	0.0
Kw	-20.02	0.1119	-1.409e-3	-5.13e-3	0.0794e-3	0.0
Ks	-18.03	0.0466	0.316e-3	-4.53e-3	0.09e-3	0.0
Kf	-9.780	-0.0090	-0.942e-3	-3.91e-3	0.054e-3	0.0
Kspc	-48.76	0.5304	0.0	-11.76e-3	0.3692e-3	0.0
Kspa	-45.96	0.5304	0.0	-11.76e-3	0.3692e-3	0.0
K1p	-14.51	0.1211	-0.321e-3	-2.67e-3	0.0427e-3	0.0
K2p	-23.12	0.1758	-2.647e-3	-5.15e-3	0.09e-3	0.0
K3p	-26.57	0.2020	-3.042e-3	-4.08e-3	0.0714e-3	0.0
Khs	-14.80	0.0020	-0.4e-3	2.89e-3	0.054e-3	0.0
Kn	-26.43	0.0889	-0.000905	-5.03e-3	0.0814e-3	0.0
Ksi	-29.48	0.1622	-2.6080e-3	-2.84e-3	0.0	0.0
