"case","T","S","CT_umol","AT_umol","Pt_umol","Sit_umol","Be","dBe_dT","dBe_dS","dBe_dCT","dBe_dAT","dh_dT","dh_dS","dh_dCT","dh_dAT","alk_residual","pH"
"polar",-1,34,2150,2300,1.5,60,7.73737660274204,-0.0411351604004869,-0.111576498898627,-70930.0661206632,67160.6108239451,2.71120978874397e-10,1.98478224109547e-10,4.21077394085024e-05,-4.04211869204904e-05,0,8.14881362267866
"subpolar",2,34.5,2100,2280,1.2,40,9.97014243129069,-0.0646731568058246,-0.158367792595719,-84500.1535952832,79036.9375479114,2.54058197326753e-10,1.91429837877126e-10,3.64535699736341e-05,-3.46236621671634e-05,0,8.17089986282987
"temperate",10,34.8,2050,2290,0.5,10,14.893157601372,-0.136404570971667,-0.2614724266893,-106537.095897367,97257.9856512785,2.46276191837759e-10,1.96058584698149e-10,3.07817423918944e-05,-2.86091433507834e-05,0,8.16941863029108
"notebook_base",20,35,2000,2300,0.2,3,19.7505639272088,-0.241557812538571,-0.36129964154389,-120965.60268546,107690.107581097,2.66527755792579e-10,2.20172610650813e-10,2.97912061574704e-05,-2.70741201101315e-05,0,8.12120655048352
"subtropical",25,35,2000,2300,0.1,2,18.5365947889349,-0.248508797718046,-0.333932804979031,-112434.270145393,100035.1883331,3.12088000433305e-10,2.59796921048199e-10,3.51492481757517e-05,-3.19243478563078e-05,0,8.04557993581812
"warm_salty_gyre",29,36.5,1950,2380,0.05,1,32.2195975352684,-0.495836041326638,-0.618062182104455,-152785.231378392,129354.764703221,2.47769253511077e-10,2.03209777806325e-10,2.23045405191199e-05,-1.9394142229714e-05,0,8.14992542199295
"warm_fresh",28,33,1900,2150,0.3,5,14.7449961591115,-0.200267332475558,-0.259780044410469,-101890.220556015,91897.7473179246,3.74982076210416e-10,3.29032285426954e-10,4.86642837362108e-05,-4.47498928908534e-05,4.33680868994202e-19,7.95883270450725
"brackish_coastal",15,30,1950,2100,0.8,15,8.22687319010846,-0.0721006197033959,-0.126332474493407,-77493.5377970723,72880.89146422,3.69931846046227e-10,3.28540523265299e-10,6.45994788723687e-05,-6.15931450751314e-05,0,7.97396969129073
"high_CO2_2100",25,35,2100,2300,0.1,2,9.43735460322358,-0.108145094307852,-0.143404758448558,-70755.5624669787,65553.0146276011,4.67818817360341e-10,3.79460717065508e-10,6.72092388936058e-05,-6.32480281370632e-05,0,7.8574110025602
"southern_ocean",5,33.5,2200,2320,1.8,70,5.62118637224702,-0.0309167751344453,-0.0670853435932166,-53549.1371710809,51283.700812529,3.84751844983388e-10,2.85235784370678e-10,6.8025840492028e-05,-6.59360397177073e-05,-4.33680868994202e-19,7.97420763510964
